type,latency(ms),packetLoss(%),bandwidth(Mbps),connection_type,qos
wifi,203,2.62,3.59,server,Poor
cellular,389,5.29,1.0,server,Poor
cellular,243,4.17,9.49,p2p,Poor
wifi,1005,6.28,48.63,server,Poor
cellular,145,1.78,27.04,server,Good
cellular,352,8.34,1.85,p2p,Poor
cellular,68,0.31,84.47,server,Good
wifi,62,0.63,79.79,p2p,Good
wifi,69,0.93,77.82,p2p,Good
wifi,525,7.88,35.65,server,Fair
wifi,217,3.26,12.82,p2p,Poor
wifi,157,2.12,16.31,server,Good
wifi,146,0.67,85.5,server,Good
wifi,27,0.04,253.34,server,Good
wifi,41,0.0,271.62,server,Good
wifi,102,0.51,34.32,server,Good
cellular,124,2.71,46.62,p2p,Fair
cellular,138,0.81,47.8,p2p,Fair
wifi,59,0.31,75.69,server,Good
wifi,2044,3.54,43.45,p2p,Poor
wifi,87,0.61,52.25,server,Good
cellular,84,2.72,44.82,p2p,Fair
cellular,106,2.24,29.08,p2p,Fair
cellular,140,1.42,11.4,p2p,Poor
cellular,273,5.55,6.79,server,Fair
cellular,162,0.89,15.13,server,Good
cellular,444,5.88,3.62,server,Poor
wifi,61,0.95,61.11,p2p,Good
cellular,578,4.58,3.66,server,Poor
cellular,180,1.28,38.81,server,Good
wifi,18,0.08,141.7,server,Good
cellular,46,0.09,157.99,server,Good
wifi,90,0.93,89.23,server,Good
wifi,461,4.36,3.86,server,Poor
wifi,62,0.32,25.66,p2p,Fair
cellular,450,6.8,7.97,p2p,Poor
wifi,306,3.07,1.82,p2p,Poor
cellular,187,2.25,22.14,p2p,Fair
wifi,302,2.27,6.78,p2p,Poor
wifi,255,3.91,13.42,p2p,Poor
cellular,908,5.86,1.2,p2p,Poor
wifi,30,0.04,202.42,server,Good
cellular,715,8.82,8.34,server,Fair
cellular,444,5.05,8.85,server,Fair
wifi,431,2.4,24.44,p2p,Poor
wifi,30,0.03,155.95,p2p,Excellent
cellular,44,0.05,69.37,server,Good
wifi,47,0.05,217.95,server,Good
wifi,58,0.51,26.61,p2p,Fair
wifi,56,0.19,75.16,p2p,Good
cellular,44,0.18,136.43,p2p,Excellent
wifi,434,2.73,22.15,server,Fair
wifi,354,1.12,8.83,p2p,Poor
cellular,571,8.42,4.66,server,Poor
cellular,172,1.43,40.08,server,Good
wifi,241,4.64,18.09,server,Good
wifi,179,4.39,21.24,p2p,Poor
wifi,54,0.33,35.99,p2p,Fair
cellular,424,3.3,7.86,p2p,Poor
wifi,98,0.62,33.41,server,Good
wifi,135,0.36,73.63,server,Good
wifi,207,2.37,8.01,p2p,Poor
wifi,377,1.63,1.76,server,Poor
wifi,2436,8.22,35.96,p2p,Poor
cellular,61,0.03,163.66,server,Good
wifi,434,3.23,15.8,p2p,Poor
wifi,131,0.41,51.72,p2p,Fair
wifi,3053,8.73,11.06,p2p,Poor
wifi,377,4.32,22.89,p2p,Poor
wifi,36,0.09,223.05,server,Good
wifi,149,0.49,29.2,server,Good
wifi,101,0.45,98.49,server,Good
cellular,69,0.01,78.81,p2p,Good
wifi,477,2.29,18.7,p2p,Poor
cellular,772,3.68,1.68,p2p,Poor
wifi,115,0.49,91.14,p2p,Good
cellular,166,1.29,10.19,p2p,Poor
cellular,517,6.51,7.41,p2p,Poor
wifi,49,0.08,293.51,server,Good
wifi,442,3.85,23.16,server,Fair
wifi,228,4.34,16.29,p2p,Poor
cellular,627,4.93,5.03,server,Fair
wifi,1456,13.93,17.55,server,Poor
cellular,987,8.61,2.92,server,Poor
wifi,2866,6.48,30.07,p2p,Poor
cellular,112,1.98,17.31,server,Good
cellular,897,4.11,7.55,p2p,Poor
cellular,585,5.01,5.39,server,Fair
cellular,109,2.66,30.51,server,Good
wifi,250,1.03,8.46,p2p,Poor
cellular,345,6.33,1.87,p2p,Poor
wifi,96,0.62,89.82,p2p,Good
wifi,2882,6.87,28.85,server,Poor
cellular,809,4.19,6.69,server,Fair
cellular,180,2.81,32.66,server,Good
cellular,190,1.62,46.24,p2p,Fair
cellular,323,7.92,3.48,p2p,Poor
wifi,22,0.03,194.64,p2p,Excellent
cellular,294,5.54,8.1,server,Fair
wifi,2171,9.01,23.42,p2p,Poor
wifi,242,1.83,8.84,p2p,Poor
wifi,38,0.04,121.82,p2p,Excellent
wifi,371,3.91,22.61,p2p,Poor
cellular,47,0.28,109.4,server,Good
wifi,688,9.58,49.28,server,Fair
cellular,153,0.86,34.12,p2p,Fair
cellular,529,4.62,2.32,server,Poor
cellular,64,0.41,82.97,server,Good
cellular,807,3.1,1.22,p2p,Poor
wifi,135,0.63,53.08,p2p,Fair
cellular,66,0.27,69.9,server,Good
wifi,298,1.92,4.14,p2p,Poor
cellular,577,4.49,3.44,p2p,Poor
cellular,113,1.59,31.06,p2p,Fair
cellular,125,0.98,24.38,p2p,Fair
wifi,24,0.06,280.58,server,Good
cellular,221,6.9,5.32,server,Fair
wifi,3143,13.32,34.99,server,Poor
wifi,141,0.35,47.72,p2p,Fair
wifi,317,1.02,11.55,server,Good
cellular,622,5.83,1.23,server,Poor
wifi,84,0.14,93.81,server,Good
cellular,179,2.68,31.9,server,Good
cellular,80,1.11,28.72,p2p,Fair
cellular,945,9.37,7.97,server,Fair
wifi,125,0.87,26.66,p2p,Fair
wifi,327,4.97,21.61,p2p,Poor
wifi,269,1.68,19.43,server,Good
cellular,651,9.06,5.68,p2p,Poor
wifi,357,2.2,13.45,p2p,Poor
cellular,851,5.02,3.62,server,Poor
wifi,62,0.15,69.46,server,Good
wifi,137,0.87,81.4,p2p,Fair
wifi,458,4.01,3.18,server,Poor
cellular,536,8.76,6.99,server,Fair
wifi,400,4.08,12.81,server,Fair
cellular,259,3.56,5.88,p2p,Poor
cellular,138,2.37,10.63,server,Good
cellular,154,0.51,28.18,server,Good
cellular,102,2.45,29.92,server,Good
cellular,103,0.57,37.43,server,Good
wifi,1524,3.01,45.69,server,Poor
wifi,102,0.91,28.35,server,Good
wifi,453,3.59,11.36,p2p,Poor
wifi,88,0.91,36.25,p2p,Fair
wifi,28,0.1,137.08,p2p,Excellent
wifi,281,1.86,5.68,p2p,Poor
wifi,122,0.9,97.41,server,Good
cellular,482,6.95,2.88,p2p,Poor
wifi,22,0.08,256.11,server,Good
cellular,733,7.22,2.05,server,Poor
cellular,168,0.82,32.89,p2p,Fair
cellular,515,8.24,2.46,p2p,Poor
cellular,43,0.16,184.74,server,Good
cellular,912,7.39,1.23,server,Poor
cellular,616,9.1,8.13,server,Fair
wifi,170,1.07,10.99,server,Good
cellular,821,9.77,9.69,p2p,Poor
wifi,87,0.55,99.32,p2p,Good
wifi,291,2.5,7.4,p2p,Poor
cellular,106,1.13,24.37,p2p,Fair
wifi,2379,13.18,13.86,p2p,Poor
wifi,2806,14.58,15.48,p2p,Poor
cellular,70,0.01,67.49,p2p,Good
cellular,769,6.22,8.53,server,Fair
cellular,654,4.12,3.94,p2p,Poor
wifi,459,4.81,2.28,server,Poor
wifi,48,0.03,122.25,p2p,Excellent
cellular,44,0.27,131.38,server,Good
wifi,420,1.16,12.96,p2p,Poor
wifi,76,0.39,86.09,p2p,Good
cellular,194,2.54,34.6,p2p,Fair
wifi,83,0.49,62.34,server,Good
cellular,143,1.31,15.31,server,Good
wifi,98,0.81,80.35,server,Good
wifi,474,4.76,8.1,server,Fair
wifi,133,0.96,79.58,server,Good
wifi,102,0.27,90.11,p2p,Good
cellular,52,0.4,141.95,server,Good
wifi,2998,4.23,13.3,server,Poor
cellular,499,3.57,6.76,server,Fair
wifi,897,7.0,39.7,server,Fair
cellular,580,5.37,8.29,server,Fair
wifi,128,0.69,85.73,p2p,Fair
cellular,60,0.04,130.47,p2p,Good
wifi,49,0.02,209.88,server,Good
cellular,78,0.22,117.48,server,Good
cellular,527,8.57,3.97,p2p,Poor
cellular,188,0.9,13.12,p2p,Poor
wifi,44,0.0,139.52,p2p,Excellent
wifi,413,3.78,22.6,server,Fair
wifi,264,2.71,8.24,p2p,Poor
wifi,1759,1.42,26.01,p2p,Poor
wifi,3569,1.36,39.69,server,Poor
wifi,122,0.33,99.81,p2p,Fair
cellular,91,2.01,39.26,p2p,Fair
wifi,455,1.79,10.05,p2p,Poor
cellular,64,0.33,112.31,server,Good
cellular,66,0.1,192.83,p2p,Good
cellular,199,1.58,43.01,server,Good
cellular,136,1.39,30.74,server,Good
cellular,193,3.0,26.69,server,Good
wifi,139,0.76,70.45,server,Good
cellular,162,1.11,39.54,server,Good
wifi,106,0.6,86.82,server,Good
wifi,246,2.89,5.76,p2p,Poor
cellular,150,1.93,32.19,server,Good
wifi,32,0.06,238.56,server,Good
wifi,358,4.02,12.7,p2p,Poor
wifi,427,3.6,15.96,server,Fair
wifi,469,4.05,2.09,p2p,Poor
wifi,269,1.55,23.02,server,Good
wifi,18,0.08,220.19,p2p,Excellent
cellular,54,0.35,127.38,p2p,Good
wifi,123,0.16,47.96,p2p,Fair
wifi,22,0.07,209.22,p2p,Excellent
cellular,83,2.12,34.54,server,Good
cellular,161,0.95,29.47,server,Good
wifi,122,0.19,72.83,p2p,Fair
wifi,77,0.76,73.77,server,Good
wifi,125,0.31,30.37,server,Good
wifi,54,0.87,90.66,p2p,Good
cellular,58,0.1,161.89,p2p,Excellent
cellular,71,0.01,145.07,p2p,Good
cellular,45,0.42,94.62,p2p,Good
wifi,71,0.47,50.76,server,Good
wifi,375,1.46,6.38,server,Fair
cellular,74,0.18,52.4,p2p,Good
wifi,39,0.09,187.57,p2p,Excellent
cellular,197,1.0,43.55,server,Good
wifi,166,4.12,19.25,p2p,Poor
cellular,156,2.94,28.7,server,Good
cellular,197,2.87,47.84,p2p,Fair
wifi,34,0.0,245.62,server,Good
cellular,705,4.83,7.99,p2p,Poor
cellular,476,5.87,1.53,server,Poor
wifi,2786,9.24,49.93,p2p,Poor
wifi,172,3.96,23.45,server,Good
cellular,132,1.02,10.49,p2p,Poor
wifi,50,0.54,39.0,p2p,Fair
wifi,2930,5.47,46.69,server,Poor
cellular,88,2.07,15.76,server,Good
wifi,463,3.63,7.97,server,Fair
wifi,197,2.99,23.73,p2p,Fair
cellular,615,3.47,7.14,server,Fair
cellular,754,3.84,6.12,p2p,Poor
cellular,892,5.41,4.43,p2p,Poor
cellular,128,2.59,48.69,server,Good
cellular,181,2.1,41.5,server,Good
wifi,200,2.39,21.43,server,Good
wifi,322,1.58,20.28,p2p,Poor
cellular,811,8.36,6.36,server,Fair
wifi,124,0.52,36.52,server,Good
wifi,413,1.93,24.37,p2p,Poor
wifi,76,0.62,79.12,p2p,Good
cellular,111,2.56,30.05,server,Good
cellular,97,0.57,20.36,p2p,Fair
cellular,63,0.36,76.08,server,Good
wifi,99,0.38,81.1,p2p,Good
wifi,488,3.0,9.94,server,Fair
cellular,662,7.67,6.01,server,Fair
cellular,272,5.47,4.41,p2p,Poor
wifi,466,3.51,10.85,p2p,Poor
wifi,2999,2.49,16.11,p2p,Poor
cellular,138,1.23,25.85,server,Good
wifi,147,0.98,28.5,server,Good
cellular,93,1.89,12.91,p2p,Poor
cellular,994,8.7,5.75,p2p,Poor
wifi,62,0.73,97.99,server,Good
cellular,62,0.06,109.02,p2p,Good
cellular,55,0.33,67.65,server,Good
cellular,675,7.75,6.73,server,Fair
wifi,90,0.5,58.63,p2p,Good
wifi,32,0.02,269.53,p2p,Excellent
wifi,129,0.71,72.92,server,Good
wifi,65,0.38,30.0,server,Good
cellular,48,0.42,105.83,p2p,Good
wifi,21,0.01,259.82,p2p,Excellent
cellular,145,0.59,28.16,server,Good
cellular,177,2.35,37.89,server,Good
wifi,398,4.71,6.51,server,Fair
cellular,532,3.96,1.52,p2p,Poor
wifi,114,0.71,60.23,p2p,Good
wifi,1338,10.92,7.94,p2p,Poor
wifi,143,0.39,96.21,p2p,Fair
wifi,51,0.81,60.35,server,Good
wifi,332,2.99,5.73,p2p,Poor
cellular,66,0.17,109.01,p2p,Good
wifi,3228,7.49,36.48,p2p,Poor
wifi,75,0.82,65.89,server,Good
wifi,142,0.69,79.86,p2p,Fair
wifi,41,0.02,215.4,server,Good
wifi,490,1.53,17.61,p2p,Poor
wifi,26,0.05,117.34,server,Good
wifi,15,0.01,180.0,server,Good
wifi,111,0.97,41.05,server,Good
cellular,134,1.66,16.44,server,Good
cellular,179,2.49,25.15,server,Good
cellular,874,3.35,8.47,p2p,Poor
cellular,548,6.83,3.7,server,Poor
cellular,765,5.28,8.28,p2p,Poor
cellular,160,2.44,28.29,p2p,Fair
cellular,98,1.68,44.87,p2p,Fair
wifi,435,3.83,12.44,server,Fair
wifi,3002,6.46,32.72,p2p,Poor
cellular,125,1.13,13.91,server,Good
cellular,447,6.89,9.96,server,Fair
cellular,501,5.68,6.34,p2p,Poor
wifi,415,3.53,21.86,server,Fair
cellular,173,1.16,46.71,server,Good
wifi,253,2.41,5.3,server,Fair
wifi,141,0.56,96.28,server,Good
cellular,165,1.5,22.87,p2p,Fair
wifi,38,0.04,161.16,server,Good
wifi,99,0.65,31.49,p2p,Fair
cellular,128,0.67,31.87,server,Good
cellular,49,0.0,129.56,p2p,Excellent
cellular,111,1.82,49.86,p2p,Fair
cellular,996,3.75,7.9,server,Fair
cellular,633,4.64,7.0,p2p,Poor
wifi,131,0.4,82.4,server,Good
wifi,26,0.03,164.88,server,Good
wifi,108,0.42,86.69,p2p,Good
wifi,500,8.91,20.66,p2p,Poor
cellular,473,9.15,8.73,server,Fair
wifi,2201,3.08,9.18,p2p,Poor
cellular,793,8.98,5.9,p2p,Poor
wifi,295,1.05,1.02,server,Poor
wifi,209,4.24,24.62,server,Good
cellular,995,7.31,1.43,p2p,Poor
wifi,327,1.28,15.59,p2p,Poor
cellular,81,1.45,27.2,server,Good
wifi,441,4.94,18.14,server,Fair
cellular,46,0.08,82.87,server,Good
wifi,27,0.07,200.55,p2p,Excellent
cellular,653,9.98,3.18,p2p,Poor
wifi,274,3.02,15.98,server,Good
wifi,96,0.86,92.38,server,Good
cellular,89,0.72,10.93,p2p,Poor
cellular,161,2.87,28.42,p2p,Fair
wifi,1500,0.96,14.53,server,Poor
cellular,73,0.35,162.04,p2p,Good
wifi,104,0.38,40.57,p2p,Good
wifi,38,0.04,131.9,server,Good
wifi,433,2.84,1.47,p2p,Poor
cellular,186,2.1,34.45,p2p,Fair
cellular,59,0.49,195.07,p2p,Good
wifi,100,0.61,58.01,server,Good
cellular,381,7.21,7.92,server,Fair
cellular,50,0.34,177.3,p2p,Good
cellular,41,0.11,93.61,server,Good
cellular,140,2.66,39.11,server,Good
wifi,37,0.06,132.09,server,Good
cellular,113,2.71,18.79,server,Good
wifi,21,0.03,142.3,p2p,Excellent
wifi,140,0.39,44.92,p2p,Fair
wifi,65,0.98,59.47,server,Good
wifi,139,0.93,87.43,p2p,Fair
cellular,816,9.98,8.82,p2p,Poor
wifi,47,0.02,168.3,p2p,Excellent
cellular,706,9.6,4.52,server,Poor
wifi,89,0.96,47.92,server,Good
wifi,428,3.8,3.97,server,Poor
wifi,1555,2.57,47.81,server,Poor
cellular,67,0.4,166.34,server,Good
wifi,24,0.04,277.4,p2p,Excellent
wifi,367,3.53,16.84,server,Good
wifi,90,0.69,42.35,server,Good
wifi,3039,10.38,9.36,server,Poor
cellular,70,0.44,55.83,p2p,Good
cellular,86,2.74,46.59,server,Good
cellular,108,1.43,42.49,p2p,Fair
cellular,68,0.48,55.29,server,Good
cellular,516,3.27,4.84,server,Poor
wifi,198,3.64,20.16,server,Good
cellular,267,7.54,3.27,p2p,Poor
cellular,484,4.85,5.08,p2p,Poor
cellular,83,2.93,43.87,p2p,Fair
wifi,157,2.68,4.49,server,Poor
cellular,262,3.08,7.28,server,Fair
cellular,930,3.34,8.76,p2p,Poor
wifi,122,0.57,52.36,p2p,Fair
cellular,342,5.35,9.11,p2p,Poor
wifi,34,0.07,163.27,p2p,Excellent
wifi,286,4.76,7.95,p2p,Poor
cellular,126,2.57,15.15,server,Good
wifi,3976,13.82,47.99,p2p,Poor
cellular,290,7.51,7.15,p2p,Poor
wifi,2746,10.74,14.96,server,Poor
wifi,328,4.86,1.14,p2p,Poor
wifi,201,2.21,19.29,server,Good
wifi,927,12.38,17.58,p2p,Poor
cellular,410,6.79,8.6,p2p,Poor
wifi,142,0.38,46.93,server,Good
wifi,331,4.86,17.63,p2p,Poor
cellular,238,5.84,8.6,p2p,Poor
wifi,204,2.36,8.43,p2p,Poor
wifi,421,2.71,23.62,server,Fair
cellular,123,0.7,30.71,p2p,Fair
cellular,591,3.57,1.16,server,Poor
cellular,80,0.73,46.67,server,Good
cellular,110,1.07,25.28,server,Good
cellular,974,9.83,6.85,server,Fair
cellular,146,1.62,33.88,p2p,Fair
wifi,106,0.36,74.48,server,Good
cellular,74,0.47,170.09,server,Good
wifi,3322,2.57,41.66,p2p,Poor
wifi,38,0.08,264.71,p2p,Excellent
wifi,499,4.53,4.84,server,Poor
wifi,171,2.69,23.19,p2p,Fair
cellular,326,3.97,3.26,server,Poor
wifi,134,0.77,78.29,p2p,Fair
cellular,149,1.64,31.82,server,Good
wifi,483,3.62,4.09,p2p,Poor
wifi,290,1.71,9.71,p2p,Poor
cellular,183,0.58,43.04,p2p,Fair
cellular,73,0.49,98.98,p2p,Good
wifi,32,0.09,222.89,server,Good
wifi,1850,6.24,30.73,server,Poor
wifi,105,0.75,30.42,server,Good
wifi,33,0.06,145.03,p2p,Excellent
wifi,58,0.5,68.85,server,Good
wifi,184,3.8,17.67,server,Good
wifi,131,0.82,28.7,server,Good
wifi,244,2.93,6.41,p2p,Poor
wifi,124,0.64,50.77,server,Good
cellular,668,4.58,8.5,p2p,Poor
wifi,120,0.19,90.41,p2p,Fair
wifi,53,0.81,89.23,server,Good
wifi,69,0.82,27.55,p2p,Fair
wifi,2995,12.01,12.32,server,Poor
wifi,1746,6.6,15.56,server,Poor
wifi,402,3.69,18.38,p2p,Poor
wifi,236,4.55,11.45,p2p,Poor
cellular,58,0.08,71.11,server,Good
wifi,325,2.66,7.27,server,Fair
wifi,38,0.09,157.91,p2p,Excellent
cellular,238,4.06,5.18,p2p,Poor
cellular,556,5.66,6.93,p2p,Poor
cellular,918,5.82,5.03,p2p,Poor
cellular,119,2.75,39.76,p2p,Fair
wifi,40,0.09,211.63,p2p,Excellent
cellular,42,0.11,125.28,p2p,Excellent
wifi,1660,9.98,12.0,server,Poor
cellular,75,0.47,191.08,server,Good
wifi,74,0.46,88.12,p2p,Good
wifi,2589,6.26,18.0,server,Poor
wifi,38,0.08,254.0,p2p,Excellent
cellular,107,2.91,12.14,p2p,Poor
wifi,1216,10.18,24.88,server,Poor
cellular,188,1.04,29.14,p2p,Fair
cellular,193,2.88,42.98,p2p,Fair
cellular,508,9.91,3.88,p2p,Poor
cellular,60,0.33,111.13,server,Good
wifi,20,0.04,287.04,p2p,Excellent
cellular,713,3.76,2.64,p2p,Poor
wifi,103,0.45,56.65,p2p,Good
cellular,145,1.82,38.72,p2p,Fair
cellular,148,2.18,38.96,p2p,Fair
wifi,3671,4.6,34.63,p2p,Poor
cellular,166,1.95,20.06,p2p,Fair
wifi,43,0.08,126.3,p2p,Excellent
cellular,111,0.79,22.66,p2p,Fair
cellular,737,6.22,4.91,server,Poor
wifi,3582,2.25,46.85,p2p,Poor
cellular,52,0.1,150.46,server,Good
wifi,32,0.06,157.24,p2p,Excellent
cellular,181,2.67,31.7,p2p,Fair
cellular,165,1.16,39.3,p2p,Fair
wifi,2773,0.42,41.01,p2p,Poor
wifi,118,0.65,45.78,p2p,Good
cellular,195,2.23,45.25,server,Good
wifi,212,2.71,19.4,p2p,Fair
cellular,47,0.05,140.09,p2p,Excellent
cellular,140,1.15,13.69,server,Good
wifi,2260,11.84,23.91,server,Poor
wifi,95,0.36,78.68,server,Good
cellular,45,0.04,84.86,p2p,Excellent
cellular,156,1.99,14.7,p2p,Poor
wifi,1306,3.98,38.87,p2p,Poor
cellular,41,0.24,106.97,server,Good
cellular,85,0.93,26.83,server,Good
wifi,434,3.45,23.39,p2p,Poor
cellular,591,6.03,6.54,p2p,Poor
wifi,164,2.43,6.51,p2p,Poor
cellular,116,1.2,41.83,server,Good
wifi,258,2.41,11.3,p2p,Poor
wifi,2513,1.24,46.99,p2p,Poor
cellular,183,1.23,26.77,p2p,Fair
wifi,464,1.02,5.84,p2p,Poor
wifi,15,0.02,179.65,p2p,Excellent
cellular,105,2.95,42.55,server,Good
wifi,495,2.37,17.38,server,Fair
wifi,325,3.58,22.14,server,Good
wifi,2616,0.47,24.14,p2p,Poor
wifi,479,4.08,21.61,server,Fair
cellular,251,6.28,4.09,p2p,Poor
wifi,100,0.16,93.62,server,Good
wifi,76,0.68,73.31,server,Good
wifi,27,0.07,159.82,server,Good
wifi,128,0.74,66.69,server,Good
cellular,836,4.95,8.66,server,Fair
wifi,101,0.87,58.68,p2p,Good
wifi,66,0.48,56.09,server,Good
cellular,53,0.13,146.14,p2p,Excellent
wifi,137,0.78,60.79,p2p,Fair
wifi,92,0.48,29.35,server,Good
wifi,2033,8.12,49.41,p2p,Poor
wifi,113,0.13,99.39,server,Good
wifi,95,0.82,82.08,server,Good
wifi,132,0.92,63.04,server,Good
cellular,300,8.14,3.29,server,Poor
wifi,286,2.33,4.32,server,Poor
cellular,193,0.98,30.51,server,Good
wifi,124,0.73,76.09,server,Good
wifi,69,0.39,48.3,p2p,Good
wifi,37,0.08,146.11,p2p,Excellent
cellular,110,1.21,10.9,p2p,Poor
wifi,126,0.94,77.32,server,Good
wifi,42,0.02,201.58,p2p,Excellent
cellular,75,0.45,86.44,p2p,Good
wifi,128,0.34,70.57,p2p,Fair
cellular,83,2.06,27.32,p2p,Fair
cellular,239,4.95,5.6,p2p,Poor
wifi,68,0.6,75.39,server,Good
wifi,2089,10.04,42.06,p2p,Poor
